Files already downloaded and verified
Files already downloaded and verified
Test Avg. Loss: 0.046001, Accuracy: 0.304200
Test Avg. Loss: 0.042711, Accuracy: 0.371500
Test Avg. Loss: 0.040117, Accuracy: 0.417800
Test Avg. Loss: 0.038141, Accuracy: 0.454300
Test Avg. Loss: 0.035834, Accuracy: 0.475300
Test Avg. Loss: 0.034278, Accuracy: 0.514000
Test Avg. Loss: 0.032772, Accuracy: 0.532900
Test Avg. Loss: 0.032133, Accuracy: 0.542500
Test Avg. Loss: 0.031210, Accuracy: 0.554900
Test Avg. Loss: 0.031704, Accuracy: 0.554000
Test Avg. Loss: 0.030702, Accuracy: 0.566900
Test Avg. Loss: 0.029860, Accuracy: 0.579600
Test Avg. Loss: 0.029766, Accuracy: 0.584900
Test Avg. Loss: 0.028639, Accuracy: 0.593400
Test Avg. Loss: 0.029357, Accuracy: 0.579000
Test Avg. Loss: 0.029322, Accuracy: 0.589000
Test Avg. Loss: 0.029168, Accuracy: 0.588800
Test Avg. Loss: 0.027866, Accuracy: 0.608800
Test Avg. Loss: 0.027403, Accuracy: 0.615200
